,Original,Working
1,Age,Age
2,Attrition,Attrition
3,BusinessTravel,WorkTravel
4,DailyRate,DailyRate
5,Department,Department
6,DistanceFromHome,DistFromHome
7,Education,Education
8,EducationField,FieldOfStudy
9,EmployeeCount,Headcount
10,EmployeeNumber,EmployeeID
11,EnvironmentSatisfaction,EnvrSatIndex
12,Gender,Gender
13,HourlyRate,HourlyRate
14,JobInvolvement,JobInvolv
15,JobLevel,JobLevel
16,JobRole,JobRole
17,JobSatisfaction,JobSatIndex
18,MaritalStatus,MaritalState
19,MonthlyIncome,MonthlyInco
20,MonthlyRate,MonthlyRate
21,NumCompaniesWorked,NumPriorComp
22,Over18,Over18
23,OverTime,OverTime
24,PercentSalaryHike,PctSalaryInc
25,PerformanceRating,PerfRating
26,RelationshipSatisfaction,RelpSatIndex
27,StandardHours,StdHours
28,StockOptionLevel,StockOptLvl
29,TotalWorkingYears,TotWorkExp
30,TrainingTimesLastYear,TrainedLstYr
31,WorkLifeBalance,WorkLifeFit
32,YearsAtCompany,YrsAtCompany
33,YearsInCurrentRole,YrsInRole
34,YearsSinceLastPromotion,LastPromoted
35,YearsWithCurrManager,YrsWithMgr